NUM TECH ERRS RETIRED COLOR DEFAULTS INT-DEFS RADII-DEFS LONG-NAME
 00 CARQ   0      0     0      0        0         1                 Combined ARQ Position
 00 WRNG   0      0     0      0        0         1                 Warning
 03 OFCL   1      0    12      1        1         1                 NHC official forecast
 03 OFCI   0      0    11      1        1         1                 NHC official forecast (Interpolated 06 hours)
 03 OFC2   0      0    11      1        1         1                 NHC official forecast (Interpolated 12 hours)
 03 OFCP   1      0    11      1        1         1                 NHC provisional forecast
 03 OFPI   0      0    11      1        1         1                 NHC provisional forecast (Interpolated 06 hours)
 03 OFP2   0      0    11      1        1         1                 NHC provisional forecast (Interpolated 12 hours)
 03 OCD5   0      0     5      0        0         1                 Combination of CLP5 and Decay-SHIFOR run on operational inputs
 03 BCD5   0      0     5      0        0         1                 Combination of CLP5 and Decay-SHIFOR run on operational inputs
 03 OHPC   0      0    17      1        0         1                 WPC official forecast
 03 OOPC   0      0    17      1        0         1                 OPC official forecast
 03 JTWC   0      0    17      0        0         0                 JTWC official forecast
 03 JTWI   0      0    17      0        0         0                 JTWC official forecast (Interpolated 06 hours)
 03 XTRP   0      0     5      0        0         1                 Extrapolation using past 12-hr motion
 03 CLIP   0      0     2      0        0         1                 CLImatology-PERsistence model 3-day
 03 CLP5   0      0     2      1        0         1                 CLImatology-PERsistence model 5-day
 03 TCLP   0      0     2      1        0         1                 Trajectory CLIPER model 7-day
 03 BAMD   0      0    26      1        0         1                 Beta and Advection model, deep (NHC)
 03 BAMM   0      0    26      1        0         1                 Beta and Advection model, medium (NHC)
 03 BAMS   0      0    26      1        0         1                 Beta and Advection model, shallow (NHC)
 03 TABD   0      0    26      1        0         0                 Trajectory and Beta Model, deep (NHC)
 03 TABM   0      0    26      1        0         0                 Trajectory and Beta Model, medium (NHC)
 03 TABS   0      0    26      1        0         0                 Trajectory and Beta Model, shallow (NHC)
 03 LBAR   0      0    30      0        0         1                 LBAR
 03 FSSE   1      0    12      1        1         1                 FSU Superensemble
 03 HWRF   0      0     8      0        0         1                 HWRF model
 03 HWFI   1      0     8      1        1         1                 HWRF model (Interpolated 06 hours)
 03 HWF2   0      0     8      1        1         1                 HWRF model (Interpolated 12 hours)
 03 HWFE   0      0     8      0        0         1                 HWRF w/ ECMWF fields model
 03 HWEI   1      0     8      1        0         1                 HWRF w/ ECMWF fields model (Interpolated 06 hours)
 03 HWE2   0      0     8      1        0         1                 HWRF w/ ECMWF fields model (Interpolated 12 hours)
 03 HW3F   0      0     8      0        0         1                 HWRF model [2013 version]
 03 HW3I   1      0     8      1        0         1                 HWRF model [2013 version] (Interpolated 06 hours)
 03 HW32   0      0     8      1        0         1                 HWRF model [2013 version] (Interpolated 12 hours)
 03 GFDL   0      0     8      0        0         1                 GFDL model
 03 GFDI   1      0     8      1        0         1                 GFDL model (Interpolated 06 hours)
 03 GFD2   0      0     8      1        0         1                 GFDL model (Interpolated 12 hours)
 03 GFD5   0      0     8      0        0         1                 Parallel version of GFDL
 03 GF5I   1      0     8      1        0         1                 Parallel version of GFDL (Interpolated 06 hours)
 03 GF52   0      0     8      1        0         1                 Parallel version of GFDL (Interpolated 12 hours)
 03 GFDE   0      0     9      0        0         1                 GFDL w/ ECMWF fields model
 03 GFEI   1      0     9      1        0         1                 GFDL w/ ECMWF fields model (Interpolated 06 hours)
 03 GFE2   0      0     9      1        0         1                 GFDL w/ ECMWF fields model (Interpolated 12 hours)
 03 GHMI   0      0    25      0        1         1                 GFDL 06-h interpolated model using variable intensity offset
 03 GHM2   0      0    25      0        1         1                 GFDL 12-h interpolated model using variable intensity offset
 03 GFDT   0      0     7      0        0         1                 GFDL using [NCEP tracker]
 03 GFTI   1      0     7      0        0         1                 GFDL using [NCEP tracker] (Interpolated 06 hours)
 03 GFT2   0      0     7      0        0         1                 GFDL using [NCEP tracker] (Interpolated 12 hours)
 03 GFDN   0      0     6      0        0         1                 Navy GFDL model
 03 GFNI   0      0     6      1        0         1                 Navy GFDL model (Interpolated 06 hours)
 03 GFN2   0      0     6      1        0         1                 Navy GFDL model (Interpolated 12 hours)
 03 NAM    0      0    12      0        0         1                 NAM model
 03 NAMI   0      0    12      0        0         1                 NAM model (Interpolated 06 hours)
 03 NAM2   0      0    12      0        0         1                 NAM model (Interpolated 12 hours)
 03 COCE   0      0    29      0        0         1                 COAMPS Carib/E Pacific grid
 03 COEI   0      0    29      0        0         1                 COAMPS Carib/E Pacific grid (Interpolated 06 hours)
 03 COE2   0      0    29      0        0         1                 COAMPS Carib/E Pacific grid (Interpolated 12 hours)
 03 COAL   0      0    29      0        0         1                 COAMPS Atlantic grid
 03 COAI   0      0    29      0        0         1                 COAMPS Atlantic grid (Interpolated 06 hours)
 03 COA2   0      0    29      0        0         1                 COAMPS Atlantic grid (Interpolated 12 hours)
 03 AVNO   0      0     0      0        0         1      GFS        GFS Model
 03 AVNI   1      0    47      1        1         1      GFSI       GFS Model (Interpolated 06 hours)
 03 AVN2   0      0     0      1        1         1      GFS2       GFS Model (Interpolated 12 hours)
 03 AVXO   0      0    28      0        0         1      GFX        GFS Model 10-day tracker
 03 AVXI   1      0    28      1        0         1      GFXI       GFS Model 10-day tracker (Interpolated 06 hours)
 03 AVX2   0      0    28      1        0         1      GFX2       GFS Model 10-day tracker (Interpolated 12 hours)
 03 AC00   0      0    23      0        0         1      GC00       GFS Ensemble control member
 03 AP01   0      0    23      0        0         1      GP01       GFS Ensemble +01 member
 03 AP02   0      0    23      0        0         1      GP02       GFS Ensemble +02 member
 03 AP03   0      0    23      0        0         1      GP03       GFS Ensemble +03 member
 03 AP04   0      0    23      0        0         1      GP04       GFS Ensemble +04 member
 03 AP05   0      0    23      0        0         1      GP05       GFS Ensemble +05 member
 03 AP06   0      0    23      0        0         1      GP06       GFS Ensemble +06 member
 03 AP07   0      0    23      0        0         1      GP07       GFS Ensemble +07 member
 03 AP08   0      0    23      0        0         1      GP08       GFS Ensemble +08 member
 03 AP09   0      0    23      0        0         1      GP09       GFS Ensemble +09 member
 03 AP10   0      0    23      0        0         1      GP10       GFS Ensemble +10 member
 03 AP11   0      0    23      0        0         1      GP11       GFS Ensemble +11 member
 03 AP12   0      0    23      0        0         1      GP12       GFS Ensemble +12 member
 03 AP13   0      0    23      0        0         1      GP13       GFS Ensemble +13 member
 03 AP14   0      0    23      0        0         1      GP14       GFS Ensemble +14 member
 03 AP15   0      0    23      0        0         1      GP15       GFS Ensemble +15 member
 03 AP16   0      0    23      0        0         1      GP16       GFS Ensemble +16 member
 03 AP17   0      0    23      0        0         1      GP17       GFS Ensemble +17 member
 03 AP18   0      0    23      0        0         1      GP18       GFS Ensemble +18 member
